GeoFips,GeoName,2018,state
1000,Alabama,42240,AL
2000,Alaska *,59605,AK
4000,Arizona,44414,AZ
5000,Arkansas,43292,AR
6000,California,63711,CA
8000,Colorado,58500,CO
9000,Connecticut,76481,CT
10000,Delaware,52599,DE
12000,Florida,50199,FL
13000,Georgia,46519,GA
15000,Hawaii *,55414,HI
16000,Idaho,43994,ID
17000,Illinois,56919,IL
18000,Indiana,47124,IN
19000,Iowa,50243,IA
20000,Kansas,51474,KS
21000,Kentucky,42527,KY
22000,Louisiana,46245,LA
23000,Maine,48881,ME
24000,Maryland,63426,MD
25000,Massachusetts,71886,MA
26000,Michigan,48480,MI
27000,Minnesota,57566,MN
28000,Mississippi,37904,MS
29000,Missouri,47784,MO
30000,Montana,47611,MT
31000,Nebraska,53364,NE
32000,Nevada,49290,NV
33000,New Hampshire,61429,NH
34000,New Jersey,68409,NJ
35000,New Mexico,41663,NM
36000,New York,68710,NY
37000,North Carolina,46126,NC
38000,North Dakota,55598,ND
39000,Ohio,48793,OH
40000,Oklahoma,46267,OK
41000,Oregon,50951,OR
42000,Pennsylvania,56252,PA
44000,Rhode Island,54800,RI
45000,South Carolina,43702,SC
46000,South Dakota,52426,SD
47000,Tennessee,46889,TN
48000,Texas,50483,TX
49000,Utah,46431,UT
50000,Vermont,54342,VT
51000,Virginia,57910,VA
53000,Washington,62122,WA
54000,West Virginia,40907,WV
55000,Wisconsin,51647,WI
56000,Wyoming,60375,WY
